location,truth_date,yearweek,value
AT,2020-10-11,2020-W40,2
AT,2020-10-11,2020-W40,71
AT,2020-10-11,2020-W40,149
AT,2020-10-04,2020-W39,1
AT,2020-10-04,2020-W39,60
AT,2020-10-04,2020-W39,72
AT,2020-10-04,2020-W39,133
AT,2020-09-27,2020-W38,1
AT,2020-09-27,2020-W38,47
AT,2020-09-27,2020-W38,1
AT,2020-09-27,2020-W38,62
AT,2020-09-27,2020-W38,111
AT,2020-09-20,2020-W37,3
AT,2020-09-20,2020-W37,46
AT,2020-09-20,2020-W37,3
AT,2020-09-20,2020-W37,43
AT,2020-09-20,2020-W37,95
AT,2020-09-13,2020-W36,1
AT,2020-09-13,2020-W36,27
AT,2020-09-13,2020-W36,19
AT,2020-09-13,2020-W36,47
AT,2020-09-06,2020-W35,27
AT,2020-09-06,2020-W35,1
AT,2020-09-06,2020-W35,14
AT,2020-09-06,2020-W35,42
AT,2020-08-30,2020-W34,2
AT,2020-08-30,2020-W34,37
AT,2020-08-30,2020-W34,2
AT,2020-08-30,2020-W34,9
AT,2020-08-30,2020-W34,50
AT,2020-08-23,2020-W33,32
AT,2020-08-23,2020-W33,17
AT,2020-08-23,2020-W33,49
AT,2020-08-16,2020-W32,23
AT,2020-08-16,2020-W32,2
AT,2020-08-16,2020-W32,16
AT,2020-08-16,2020-W32,41
AT,2020-08-09,2020-W31,19
AT,2020-08-09,2020-W31,11
AT,2020-08-09,2020-W31,30
AT,2020-08-02,2020-W30,3
AT,2020-08-02,2020-W30,16
AT,2020-08-02,2020-W30,16
AT,2020-08-02,2020-W30,35
AT,2020-07-26,2020-W29,1
AT,2020-07-26,2020-W29,27
AT,2020-07-26,2020-W29,20
AT,2020-07-26,2020-W29,48
AT,2020-07-19,2020-W28,1
AT,2020-07-19,2020-W28,24
AT,2020-07-19,2020-W28,17
AT,2020-07-19,2020-W28,42
AT,2020-07-12,2020-W27,1
AT,2020-07-12,2020-W27,21
AT,2020-07-12,2020-W27,15
AT,2020-07-12,2020-W27,37
AT,2020-07-05,2020-W26,1
AT,2020-07-05,2020-W26,15
AT,2020-07-05,2020-W26,4
AT,2020-07-05,2020-W26,20
AT,2020-06-28,2020-W25,12
AT,2020-06-28,2020-W25,6
AT,2020-06-28,2020-W25,18
AT,2020-06-21,2020-W24,5
AT,2020-06-21,2020-W24,10
AT,2020-06-21,2020-W24,15
AT,2020-06-14,2020-W23,9
AT,2020-06-14,2020-W23,5
AT,2020-06-14,2020-W23,14
AT,2020-06-07,2020-W22,5
AT,2020-06-07,2020-W22,6
AT,2020-06-07,2020-W22,11
AT,2020-05-31,2020-W21,9
AT,2020-05-31,2020-W21,8
AT,2020-05-31,2020-W21,17
AT,2020-05-24,2020-W20,8
AT,2020-05-24,2020-W20,7
AT,2020-05-24,2020-W20,15
AT,2020-05-17,2020-W19,16
AT,2020-05-17,2020-W19,9
AT,2020-05-17,2020-W19,25
AT,2020-05-10,2020-W18,2
AT,2020-05-10,2020-W18,20
AT,2020-05-10,2020-W18,19
AT,2020-05-10,2020-W18,41
AT,2020-05-03,2020-W17,20
AT,2020-05-03,2020-W17,1
AT,2020-05-03,2020-W17,46
AT,2020-05-03,2020-W17,67
AT,2020-04-26,2020-W16,31
AT,2020-04-26,2020-W16,79
AT,2020-04-26,2020-W16,110
AT,2020-04-19,2020-W15,3
AT,2020-04-19,2020-W15,70
AT,2020-04-19,2020-W15,146
AT,2020-04-19,2020-W15,219
AT,2020-04-12,2020-W14,1
AT,2020-04-12,2020-W14,86
AT,2020-04-12,2020-W14,245
AT,2020-04-12,2020-W14,332
AT,2020-04-05,2020-W13,1
AT,2020-04-05,2020-W13,185
AT,2020-04-05,2020-W13,2
AT,2020-04-05,2020-W13,326
AT,2020-04-05,2020-W13,514
AT,2020-03-29,2020-W12,91
AT,2020-03-29,2020-W12,178
AT,2020-03-29,2020-W12,269
AT,2020-03-22,2020-W11,21
AT,2020-03-22,2020-W11,25
AT,2020-03-22,2020-W11,46
AT,2020-03-15,2020-W10,9
AT,2020-03-15,2020-W10,5
AT,2020-03-15,2020-W10,14
AT,2020-03-08,2020-W09,3
AT,2020-03-08,2020-W09,1
AT,2020-03-08,2020-W09,4
BE,2023-07-02,2023-W26,116
BE,2023-07-02,2023-W26,116
BE,2023-06-25,2023-W25,139
BE,2023-06-25,2023-W25,139
BE,2023-06-18,2023-W24,211
BE,2023-06-18,2023-W24,211
BE,2023-06-11,2023-W23,238
BE,2023-06-11,2023-W23,238
BE,2023-06-04,2023-W22,306
BE,2023-06-04,2023-W22,306
